2010-11-21 17:08:40 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [C:\xampp\xampp\htdocs\cakephp\cake\libs\debugger.php, line 684]
2010-11-21 17:08:40 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [C:\xampp\xampp\htdocs\cakephp\cake\libs\debugger.php, line 688]
2010-11-21 17:37:26 Debug: Notice (8): Undefined property: CakeErrorController::$app_name in [C:\xampp\xampp\htdocs\cakephp\app\controllers\app_controller.php, line 46]
2010-11-21 17:37:26 Debug: Notice (8): Undefined property: View::$Session in [C:\xampp\xampp\htdocs\cakephp\cake\libs\view\layouts\default.ctp, line 43]
2010-11-21 17:37:26 Debug: Notice (8): Undefined property: CakeErrorController::$app_name in [C:\xampp\xampp\htdocs\cakephp\app\controllers\app_controller.php, line 46]
2010-11-21 17:37:26 Debug: Notice (8): Undefined property: View::$Session in [C:\xampp\xampp\htdocs\cakephp\cake\libs\view\layouts\default.ctp, line 43]
2010-11-21 17:37:56 Debug: Notice (8): Undefined property: View::$Session in [C:\xampp\xampp\htdocs\cakephp\cake\libs\view\layouts\default.ctp, line 43]
2010-11-21 17:38:40 Debug: Notice (8): Undefined property: View::$Session in [C:\xampp\xampp\htdocs\cakephp\cake\libs\view\layouts\default.ctp, line 43]
2010-11-21 17:38:42 Debug: Notice (8): Undefined property: View::$Session in [C:\xampp\xampp\htdocs\cakephp\cake\libs\view\layouts\default.ctp, line 43]
2010-11-21 17:38:43 Debug: Notice (8): Undefined property: View::$Session in [C:\xampp\xampp\htdocs\cakephp\cake\libs\view\layouts\default.ctp, line 43]
2010-11-21 17:38:44 Debug: Notice (8): Undefined property: View::$Session in [C:\xampp\xampp\htdocs\cakephp\cake\libs\view\layouts\default.ctp, line 43]
2010-11-21 17:40:07 Debug: Notice (8): Undefined index: ext in [C:\xampp\xampp\htdocs\cakephp\app\controllers\orders_controller.php, line 14]
2010-11-21 17:40:08 Debug: Notice (8): Undefined index: ext in [C:\xampp\xampp\htdocs\cakephp\app\controllers\orders_controller.php, line 14]
2010-11-21 17:40:25 Debug: Notice (8): Undefined index: ext in [C:\xampp\xampp\htdocs\cakephp\app\controllers\orders_controller.php, line 14]
2010-11-21 17:40:25 Debug: Notice (8): Undefined variable: regions in [C:\xampp\xampp\htdocs\cakephp\app\views\orders\index.ctp, line 2]
2010-11-21 17:40:41 Debug: Notice (8): Undefined index: ext in [C:\xampp\xampp\htdocs\cakephp\app\controllers\orders_controller.php, line 14]
2010-11-21 17:40:41 Debug: Notice (8): Undefined variable: orders in [C:\xampp\xampp\htdocs\cakephp\app\views\orders\index.ctp, line 2]
2010-11-21 17:40:42 Debug: Notice (8): Undefined index: ext in [C:\xampp\xampp\htdocs\cakephp\app\controllers\orders_controller.php, line 14]
2010-11-21 17:40:42 Debug: Notice (8): Undefined variable: orders in [C:\xampp\xampp\htdocs\cakephp\app\views\orders\index.ctp, line 2]
